,Movie title,Released Year,ImDb Rating
398,The League of Extraordinary Gentlemen,(2003),5.8
399,9,(I) (2009),7
400,The Circle,(I) (2017),5.3
401,The Hunger Games: Mockingjay - Part 1,(2014),6.6
402,Bill & Ted Face the Music,(2020),5.9
403,Slither,(2006),6.5
404,Chronicle,(2012),7
405,The Last Starfighter,(1984),6.7
406,Superman Returns,(2006),6.1
407,In the Shadow of the Moon,(2019),6.2
408,Pitch Black,(2000),7.1
409,Tomorrowland,(2015),6.4
410,Archive,(2020),6.3
411,Cloudy with a Chance of Meatballs,(2009),6.9
412,Westworld,(1973),6.9
413,War for the Planet of the Apes,(2017),7.4
414,Videodrome,(1983),7.2
415,Rise of the Planet of the Apes,(2011),7.6
416,Pi,(1998),7.3
417,Ghostbusters II,(1989),6.6
418,Masters of the Universe,(1987),5.3
419,How It Ends,(2018),5
420,Deja Vu,(2006),7.1
421,What Lies Below,(2020),4.3
422,Invasion of the Body Snatchers,(1978),7.4
423,Piranha 3DD,(2012),3.7
424,Superhero Movie,(2008),4.6
425,Nova,(III) (2022),8.8
426,Howard the Duck,(1986),4.7
427,Snake Eyes,(2021),5.4
428,Aliens vs. Predator: Requiem,(2007),4.6
429,Leviathan,(1989),5.8
430,The Lego Movie,(2014),7.7
431,Okja,(2017),7.3
432,Space Jam: A New Legacy,(2021),4.4
433,The Endless,(I) (2017),6.5
434,Cube,(1997),7.2
435,The Adventures of Buckaroo Banzai Across the 8th Dimension,(1984),6.2
436,Color Out of Space,(2019),6.1
437,Bill & Ted's Excellent Adventure,(1989),6.9
438,The Man Who Fell to Earth,(1976),6.6
439,Barb Wire,(1996),3.4
440,Mortal Kombat,(1995),5.8
441,The Time Machine,(2002),5.9
442,The Happening,(2008),5
443,Bicentennial Man,(1999),6.9
444,Maggie,(I) (2015),5.6
445,Independence Day: Resurgence,(2016),5.2
446,The Rocketeer,(1991),6.5
447,Halloween III: Season of the Witch,(1982),5.1
448,Pixels,(2015),5.6
449,The Man from Earth,(2007),7.9
450,Jupiter Ascending,(2015),5.3
451,The Stepford Wives,(2004),5.3
452,Pokémon Detective Pikachu,(2019),6.5
453,Dawn of the Planet of the Apes,(2014),7.6
454,The Host,(2006),7.1
455,Who Am I,(2014),7.5
456,Ghost in the Shell,(1995),7.9
457,Real Steel,(2011),7
458,Jumper,(2008),6.1
459,Space Jam,(1996),6.5
460,Battlefield Earth,(2000),2.5
461,Back to the Future Part III,(1990),7.4
462,Superman II,(1980),6.8
463,Stowaway,(2021),5.6
464,Zathura: A Space Adventure,(2005),6.2
465,Thunderbirds Are GO,(1966),6.4
466,Hollow Man,(2000),5.8
467,Rise of the Teenage Mutant Ninja Turtles: The Movie,(2022),5.9
468,The VelociPastor,(2018),5
469,Pulse,(2001),6.5
470,Morgan,(2016),5.8
471,Transformers: Revenge of the Fallen,(2009),5.9
472,Resident Evil: Retribution,(2012),5.3
473,Meet Cute,(2022),5.3
474,The Dark Tower,(2017),5.6
475,Heavy Metal,(1981),6.6
476,The Watch,(I) (2012),5.7
477,Maze Runner: The Scorch Trials,(2015),6.3
478,Clifford the Big Red Dog,(2021),5.9
479,Pandorum,(2009),6.7
480,The 5th Wave,(2016),5.2
481,Forbidden Planet,(1956),7.5
482,Zapped!,(1982),4.9
483,Isle of Dogs,(2018),7.8
484,Blade: Trinity,(2004),5.8
485,Rubikon,(2022),4.8
486,The Midnight Sky,(2020),5.6
487,G.I. Joe: Retaliation,(2013),5.7
488,The Witch: Part 1 - The Subversion,(2018),7.1
489,Southland Tales,(2006),5.3
490,The In Between,(2022),5.9
491,Teenage Mutant Ninja Turtles: Out of the Shadows,(2016),5.9
492,Bolt,(2008),6.8
493,Cocoon,(1985),6.7
494,Chappie,(2015),6.8
495,Star Trek IV: The Voyage Home,(1986),7.3
496,The Thing,(I) (2011),6.2
497,Flight of the Navigator,(1986),6.9
498,Hardcore Henry,(2015),6.7
499,Project Power,(2020),6
500,The Cloverfield Paradox,(2018),5.5
501,Small Soldiers,(1998),6.2
502,Transcendence,(I) (2014),6.2
503,Moonraker,(1979),6.2
504,Meet the Robinsons,(2007),6.8
505,It Comes at Night,(2017),6.2
506,R.I.P.D.,(2013),5.6
507,Dark Skies,(2013),6.3
508,Criminal,(2016),6.3
509,The Time Traveler's Wife,(2009),7.1
510,Dragon Ball Super: Broly,(2018),7.8
511,Godzilla,(I) (1998),5.4
512,Hot Tub Time Machine 2,(2015),5
513,Beavis and Butt-Head Do the Universe,(2022),7
514,Congo,(1995),5.2
515,Mad Max Beyond Thunderdome,(1985),6.2
516,Monsters,(2010),6.4
517,eXistenZ,(1999),6.8
518,Downsizing,(2017),5.7
519,The Purge: Anarchy,(2014),6.4
520,Blade II,(2002),6.7
521,Frankenstein,(1931),7.8
522,Tank Girl,(1995),5.3
523,Home,(II) (2015),6.6
524,Scooby-Doo 2: Monsters Unleashed,(2004),5.1
525,Scanners,(1981),6.7
526,I Am Number Four,(2011),6.1
527,Fahrenheit 451,(2018),4.9
528,Gemini Man,(2019),5.7
529,Superman III,(1983),5
530,Total Recall,(I) (2012),6.2
531,Wild Wild West,(1999),4.9
532,The Adventures of Sharkboy and Lavagirl 3-D,(2004),3.7
533,Redline,(2009),7.5
534,Death Race 2000,(1975),6.2
535,Bliss,(I) (2021),5.3
536,Innerspace,(1987),6.8
537,The Blob,(1988),6.6
538,The 6th Day,(2000),5.9
539,Mighty Morphin Power Rangers: The Movie,(1995),5.2
540,Pacific Rim: Uprising,(2018),5.6
541,Cherry 2000,(1987),5.5
542,Maximum Overdrive,(1986),5.4
543,Mother/Android,(2021),4.9
544,Disaster Movie,(2008),1.9
545,Splice,(2009),5.8
546,Child's Play,(2019),5.7
547,Explorers,(1985),6.4
548,Time Bandits,(1981),6.9
549,The Lego Batman Movie,(2017),7.3
550,Push,(2009),6.1
551,Eight Legged Freaks,(2002),5.5
552,Spy Kids 3: Game Over,(2003),4.3
553,Multiplicity,(1996),6.1
554,Resident Evil: The Final Chapter,(2016),5.5
555,Re-Animator,(1985),7.2
556,Solaris,(1972),8
