,Movie title,Released Year,ImDb Rating
566,17 Again,(2009),6.4
567,Mid90s,(2018),7.3
568,Jay and Silent Bob Reboot,(2019),5.6
569,Tootsie,(1982),7.4
570,My Neighbor Totoro,(1988),8.1
571,Serendipity,(2001),6.8
572,Monsters University,(2013),7.3
573,Paul,(2011),6.9
574,Kingpin,(1996),6.9
575,The Princess Diaries 2: Royal Engagement,(2004),5.8
576,Stepmom,(1998),6.8
577,Hotel Transylvania,(2012),7
578,Diary of a Wimpy Kid,(2010),6.2
579,Despicable Me 3,(2017),6.2
580,The Return of the Living Dead,(1985),7.3
581,Murder Mystery,(2019),6
582,Bachelor in Paradise,(1961),6.3
583,Waiting...,(I) (2005),6.7
584,Hot Rod,(2007),6.7
585,Bride of Chucky,(1998),5.5
586,Hunt for the Wilderpeople,(2016),7.8
587,Men in Black II,(2002),6.1
588,Necessary Roughness,(1991),6.1
589,Dick Tracy,(1990),6.2
590,The Dead Don't Die,(2019),5.4
591,We Bought a Zoo,(2011),7.1
592,You've Got Mail,(1998),6.7
593,As Good as It Gets,(1997),7.7
594,Three Kings,(1999),7.1
595,The Mitchells vs the Machines,(2021),7.6
596,Everybody Wants Some!!,(2016),6.9
597,The Love Witch,(2016),6.2
598,A Woman Is a Woman,(1961),7.4
599,The Meaning of Life,(1983),7.5
600,Say Anything,(1989),7.3
601,The Good Boss,(2021),7.2
602,Charlie's Angels,(2000),5.6
603,Megamind,(2010),7.3
604,Fire Island,(2022),6.7
605,The Secret Life of Pets,(2016),6.5
606,Toy Story 2,(1999),7.9
607,Cocktail,(1988),5.9
608,On the Count of Three,(2021),7
609,Grease 2,(1982),4.5
610,Being John Malkovich,(1999),7.8
611,The Disaster Artist,(2017),7.3
612,Monster House,(2006),6.6
613,Punch-Drunk Love,(2002),7.3
614,Zombieland: Double Tap,(2019),6.7
615,On the Come Up,(2022),5.1
616,Ralph Breaks the Internet,(2018),7
617,Ted 2,(2015),6.3
618,How the Grinch Stole Christmas,(2000),6.2
619,The Addams Family,(2019),5.8
620,Happy Death Day,(2017),6.6
621,The Muppets Take Manhattan,(1984),6.8
622,Cry-Baby,(1990),6.4
623,"Yes, God, Yes",(2019),6.1
624,The Intern,(I) (2015),7.1
625,Weekend at Bernie's,(1989),6.4
626,The Death of Stalin,(2017),7.2
627,Tango & Cash,(1989),6.4
628,Top Secret!,(1984),7.2
629,The Jungle Book,(1967),7.6
630,The Bob's Burgers Movie,(2022),7
631,Anchorman: The Legend of Ron Burgundy,(2004),7.1
632,The Valet,(2022),6.7
633,Mr. Mom,(1983),6.6
634,Sleepless in Seattle,(1993),6.8
635,Bad Boys,(1995),6.8
636,The Edge of Seventeen,(2016),7.3
637,Thoroughbreds,(2017),6.6
638,Ever After: A Cinderella Story,(1998),7
639,Rango,(2011),7.2
640,She's Funny That Way,(2014),6.1
641,To All the Boys I've Loved Before,(2018),7
642,Blades of Glory,(2007),6.3
643,Willy's Wonderland,(2021),5.5
644,Instant Family,(2018),7.3
645,The Queen's Corgi,(2019),4.8
646,Bad Boys for Life,(2020),6.5
647,Wayne's World,(1992),7
648,Seoul Vibe,(2022),5.5
649,Boss Level,(2020),6.8
650,Kiss Kiss Bang Bang,(2005),7.5
651,Annie,(1982),6.6
652,Journey 2: The Mysterious Island,(2012),5.7
653,Spy Kids,(2001),5.6
654,How to Lose a Guy in 10 Days,(2003),6.4
655,Wet Hot American Summer,(2001),6.5
656,The Commitments,(1991),7.6
657,Zack and Miri Make a Porno,(2008),6.5
658,Eurovision Song Contest: The Story of Fire Saga,(2020),6.5
659,9 to 5,(1980),6.9
660,Raising Arizona,(1987),7.3
661,Pineapple Express,(2008),6.9
662,Pitch Perfect 3,(2017),5.8
663,Mississippi Grind,(2015),6.4
664,Inherent Vice,(2014),6.6
665,Fallen Angels,(1995),7.6
666,The Three Musketeers,(1993),6.3
667,Flipped,(I) (2010),7.7
668,Cheeky,(2000),5.4
669,Leap Year,(2010),6.4
670,The Darjeeling Limited,(2007),7.2
671,All My Friends Hate Me,(2021),6.2
672,Studio 666,(2022),5.7
673,The Dictator,(2012),6.4
674,Stripes,(1981),6.8
675,Hot Shots!,(1991),6.7
676,Love Hard,(2021),6.3
677,Splash,(1983),6.3
678,The Frighteners,(1996),7.1
679,Unplugging,(2022),4.3
680,Wise Blood,(1979),6.9
681,The Witches of Eastwick,(1987),6.5
682,Singin' in the Rain,(1952),8.3
683,Set It Up,(2018),6.5
684,Cool Runnings,(1993),7
685,Private School,(1983),5.2
686,Scary Movie 3,(2003),5.5
687,Buffalo '66,(1998),7.4
688,Chungking Express,(1994),8
689,Good Luck Chuck,(2007),5.6
690,A Dog's Purpose,(2017),7.2
691,Home Team,(2022),6
692,Romancing the Stone,(1984),6.9
693,Bill & Ted Face the Music,(2020),5.9
694,Ace Ventura: Pet Detective,(1994),6.9
695,Mad About Music,(1938),7.1
696,Bruce Almighty,(2003),6.8
697,Onward,(I) (2020),7.4
698,Army of Darkness,(1992),7.4
699,Slither,(2006),6.5
700,Ella Enchanted,(2004),6.3
701,Miss Meadows,(2014),5.7
702,Guns Akimbo,(2019),6.3
703,Naked,(1993),7.7
704,Sister Act,(1992),6.5
705,Kajillionaire,(2020),6.4
706,Mr. Malcolm's List,(2022),5.7
707,Robin Hood: Men in Tights,(1993),6.7
708,Mank,(2020),6.8
709,Wanderlust,(2012),5.6
710,Four Weddings and a Funeral,(1994),7.1
711,Home Alone 2: Lost in New York,(1992),6.8
712,My Girl,(1991),6.9
713,Cloudy with a Chance of Meatballs,(2009),6.9
714,On the Town,(1949),7.3
715,Nacho Libre,(2006),5.8
716,City Slickers,(1991),6.8
717,Saved!,(2004),6.7
718,The Flintstones,(1994),4.9
719,Ghostbusters II,(1989),6.6
720,Best in Show,(2000),7.4
721,"Planes, Trains & Automobiles",(1987),7.6
722,Mallrats,(1995),7
723,The Meyerowitz Stories,(2017),6.9
724,Zoolander,(2001),6.5
725,This Is Where I Leave You,(2014),6.6
726,Adaptation.,(2002),7.7
727,Tammy,(2014),4.9
728,Riders of Justice,(2020),7.5
729,Can't Buy Me Love,(1987),6.7
730,Life of Crime,(2013),5.8
731,Ed Wood,(1994),7.8
732,How It Ends,(2021),5.1
733,Piranha 3DD,(2012),3.7
734,The Upside,(2017),7
735,The Secret Life of Pets 2,(2019),6.4
736,Superhero Movie,(2008),4.6
737,Grandma's Boy,(2006),6.9
738,A Goofy Movie,(1995),6.9
739,The Descendants,(2011),7.3
740,Odd Thomas,(2013),6.8
741,Wild Tales,(2014),8.1
742,National Lampoon's European Vacation,(1985),6.2
743,Fired Up!,(2009),6.1
744,Friday After Next,(2002),5.7
745,Night at the Museum: Battle of the Smithsonian,(2009),6
746,Stuck in Love.,(2012),7.2
747,Nothing But Trouble,(1991),5
748,Something's Gotta Give,(2003),6.7
749,"Rita, Sue and Bob Too",(1987),6.5
